model,seed,split,accuracy,precision,recall,f1_score,roc_auc,loss
baseline_cnn,42,validation,0.8138888888888889,0.826518991036635,0.8138888888888889,0.813998016529241,0.9602686328303613,0.4599418103143021
baseline_cnn,42,test,0.8333333333333334,0.8466989472536249,0.8333333333333334,0.8346360552779049,0.9586716963877459,0.45585599221565104
tumordetnet,42,validation,0.8694444444444445,0.8751290031255318,0.8694444444444445,0.8668598316325813,0.9807658893461362,0.35371735969696333
tumordetnet,42,test,0.875,0.8773297765921197,0.875,0.8730054003009372,0.9802423411065387,0.34403659417121496
baseline_cnn,52,validation,0.8046296296296296,0.8106864711079464,0.8046296296296296,0.8037138324670074,0.9498571101966164,0.5031930800941256
baseline_cnn,52,test,0.8037037037037037,0.8084459978742772,0.8037037037037037,0.8010335226031884,0.9539186099679926,0.4962926764179159
tumordetnet,52,validation,0.9037037037037037,0.9038837761336415,0.9037037037037037,0.903661202767041,0.9842512574302699,0.27545599856034475
tumordetnet,52,test,0.9148148148148149,0.9151553366875652,0.9148148148148149,0.9143296981138646,0.9872753772290811,0.25755480988710017
baseline_cnn,62,validation,0.8,0.811163798256413,0.8,0.7974559482719366,0.9461659807956104,0.5218760095260762
baseline_cnn,62,test,0.8101851851851852,0.8199895089813001,0.8101851851851852,0.8080674987476625,0.9493049839963419,0.5166248336986259
tumordetnet,62,validation,0.8953703703703704,0.8988844933579987,0.8953703703703704,0.8945564934267547,0.9827286236854137,0.31268454825988523
tumordetnet,62,test,0.8851851851851852,0.8892251510926011,0.8851851851851852,0.8846345970863057,0.9824725651577503,0.3054780810795448
