label,path,width,height
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_1.jpg,354,442
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_10.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_100.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_101.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_102.jpg,339,406
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_103.jpg,541,477
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_104.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_105.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_106.jpg,236,236
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_107.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_108.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_109.jpg,236,236
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_11.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_110.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_111.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_112.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_113.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_114.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_115.jpg,338,411
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_116.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_117.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_118.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_119.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_12.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_120.jpg,384,382
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_121.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_122.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_123.jpg,512,512
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_124.jpg,512,512
