label,path
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(1).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(10).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(100).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(11).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(12).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(13).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(14).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(15).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(16).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(17).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(18).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(19).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(2).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(20).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(21).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(22).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(23).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(24).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(25).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(26).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(27).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(28).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(29).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(3).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(30).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(31).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(32).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(33).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(34).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(35).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(36).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(37).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(38).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(39).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(4).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(40).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(41).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(42).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(43).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(44).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(45).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(46).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(47).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(48).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(49).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(5).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(50).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(51).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(52).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(53).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(54).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(55).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(56).jpg
glioma,F:\brain tumor detection\data\raw\secondary\normalized\glioma\glioma_tumor_image(57).jpg
